K001;pește macrou congelat;pește;Ocean Fish;1;kg;18.90;RON
K002;cartofi albi;legume;BioFresh;2;kg;4.40;RON
K003;ceapă galbenă;legume;BioFresh;1;kg;3.30;RON
K004;brânză de vaci 5%;lactate;Delaco;0.5;kg;6.20;RON
K005;smântână 20%;lactate;Napolact;0.3;kg;4.50;RON
K006;unt 82% grasime;lactate;Hochland;0.2;kg;8.70;RON
K007;orez bob lung;alimente de bază;Scotti;1;kg;6.90;RON
K008;pate vegetal;conserve;Bucegi;0.2;kg;2.90;RON
K009;napolitane cacao;dulciuri;Joe;0.1;kg;2.80;RON
K010;croissant ciocolată;dulciuri;7Days;0.08;kg;2.20;RON
K011;cola 2L;băuturi;Coca-Cola;2;l;8.50;RON
K012;apă plată 5L;apă;Aqua Carpatica;5;l;9.90;RON
K013;gel de duș fresh;îngrijire personală;Nivea;0.5;l;11.50;RON
K014;hârtie igienică 4 straturi;curățenie;Zewa;8;role;18.90;RON
K015;drojdie uscată;alimente de bază;Dr. Oetker;0.05;kg;1.50;RON
K016;mazăre conservă;conserve;Bonduelle;0.4;kg;3.80;RON
K017;vin alb sec;băuturi;Jidvei;0.75;l;22.30;RON
K018;miere polifloră;alimente de bază;Apisrom;0.5;kg;15.90;RON
K019;șervețele umede;îngrijire personală;Bella;0.1;kg;4.20;RON
K020;cremă mâini hidratantă;îngrijire personală;Elmiplant;0.075;kg;6.10;RON
